73 82 134 160
45 5 133 50
1 41 97 76
23 81 37 178
71 44 80 143
13 78 79 78
26 95 60 106
20 99 55 161
11 77 42 155
37 95 130 160
76 29 108 128
24 74 118 81
79 85 128 133
18 25 24 55
93 68 118 76
6 72 33 137
85 22 136 67
9 76 96 140
5 42 31 74
52 37 87 48
95 21 103 77
9 34 99 105
23 59 114 106
42 15 78 102
15 7 94 82
37 81 47 170
17 87 32 106
84 63 90 102
25 78 86 165
4 14 40 60
0 30 43 90
36 21 55 43
41 40 50 104
8 14 13 39
12 39 34 128
52 10 120 73
1 7 16 70
33 88 116 116
93 64 150 66
67 82 136 120
23 35 100 119
34 91 118 112
31 16 103 53
13 7 77 37
54 88 60 130
15 82 38 97
10 11 32 48
75 79 136 98
89 8 188 98
84 10 100 74
42 77 64 83
7 0 70 56
86 0 142 23
22 43 87 108
1 64 49 134
98 52 186 129
10 14 51 84
29 48 63 133
77 57 164 154
14 15 23 54
8 0 95 72
88 18 152 109
22 10 117 15
33 65 92 116
61 86 130 128
98 42 157 85
100 0 131 87
32 70 120 132
4 6 66 49
43 11 123 41
91 91 180 108
43 20 70 118
35 64 113 115
71 62 146 149
89 10 159 23
1 37 53 38
21 56 89 75
80 52 96 52
5 86 103 151
3 35 82 86
0 97 88 118
97 96 188 155
92 17 129 37
9 23 95 40
87 51 139 132
32 10 79 90
37 83 75 168
99 98 120 164
83 89 164 168
37 92 62 192
52 54 85 69
59 43 97 57
95 50 164 145
22 88 31 152
79 77 146 80
14 29 34 79
78 57 147 119
72 42 120 126
48 40 58 60
95 56 193 59
